"Genotype","Line.type","blups.gy","std.er.gy"
"290","entry",2828.59,283.45
"291","entry",2361,377.4
"292","entry",4821.2,283.16
"293","entry",4301.35,282.21
"294","entry",2214.94,283.01
"295","entry",2395.52,282.31
"296","entry",3271.1,283.06
"297","entry",2476.32,283.17
"298","entry",3554.28,283.09
"299","entry",3088.44,283.25
"3","entry",3246.78,283.03
"30","entry",4074.09,283.56
"300","entry",3820.4,283.51
"301","entry",3644.42,282.44
"302","entry",2980.08,282.58
"303","entry",3951.77,281.1
"304","entry",3822.6,283.24
"305","entry",3205.07,281.41
"306","entry",3378.28,283.23
"307","entry",3964.9,283.36
"308","entry",4278.24,283.53
"309","entry",3493.59,283.04
"31","entry",3515.51,283.04
"310","entry",4424.69,283.45
"311","entry",3868.47,280.98
"312","entry",4500.83,283.45
"313","entry",5029.21,282.57
"314","entry",4095.87,282.44
"315","entry",4386.15,283.34
"316","entry",4681.77,283.56
"317","entry",3411.64,283.56
"318","entry",4660.58,283.27
"319","entry",3602.34,283.42
"32","entry",3750.9,283.54
"320","entry",2732.07,283.19
"321","entry",3120.42,282.32
"322","entry",4121.19,283.45
"323","entry",3913.99,281.93
"324","entry",5013.09,282.62
"325","entry",4047.69,282.98
"326","entry",4663.55,282.92
"327","entry",4936.52,283.48
"328","entry",3877.91,283.24
"329","entry",2895.72,283.18
"33","entry",3250.59,282.12
"330","entry",3690.07,283.61
"331","entry",4389.24,282.26
"332","entry",4516.14,283.22
"333","check",2721.86,252.87
"334","check",5503.75,252.85
"335","check",3864.73,252.73
"336","check",4162.36,252.89
"337","check",3259.33,252.78
"338","check",3998.45,252.69
"339","check",4515.21,252.78
"34","entry",4629.6,283.51
"340","check",3909.89,252.85
"341","check",5078.55,252.84
"342","check",2958.93,252.76
"343","check",2643.16,252.86
"344","check",4095.41,252.8
"35","entry",3879.77,282.39
"36","entry",3656.19,283.57
"37","entry",2542.24,283.51
"38","entry",3038.24,282.51
"39","entry",3974.14,283.49
"4","entry",3381.72,282
"40","entry",4151.1,282.62
"41","entry",4388.21,283.18
"42","entry",4429.2,280.97
"43","entry",4570.51,282.62
"44","entry",4577.59,282.6
"45","entry",3605.05,282.58
"46","entry",4145.21,283.21
"47","entry",4301.02,282.6
"48","entry",4262.3,282.43
"49","entry",3693.36,283.44
"5","entry",3281.29,283.13
"50","entry",2501.27,283.54
"51","entry",4440.88,283.43
"52","entry",3414.43,281.71
"53","entry",4022.72,283.37
"54","entry",3244.83,283.26
"55","entry",4511.84,283.39
"56","entry",4466.68,283.55
"57","entry",3594.04,283.6
"58","entry",3577.25,282.24
"59","entry",3939.75,283.41
"6","entry",3351.24,283.19
"60","entry",4186.71,283.43
"61","entry",3748.37,283.16
"62","entry",4832.66,283.07
"63","entry",3911.11,283.54
"64","entry",4062.74,282.41
"65","entry",4487.81,283.53
"66","entry",3600.51,281.11
"67","entry",5043.82,283.08
"68","entry",3921.33,283.18
"69","entry",4678.84,282.28
"7","entry",3103.62,283.6
"70","entry",3793.04,282.54
"71","entry",4013.72,283.66
"72","entry",4220.74,283.25
"73","entry",4001.26,282.66
"74","entry",4359.36,282.64
"75","entry",3424.46,283.51
"76","entry",4112.66,282.4
"77","entry",5003.35,283.58
"78","entry",4521.48,283.57
"79","entry",3951.01,282.11
"8","entry",3293.2,283.47
"80","entry",3440.6,282.07
"81","entry",4122.76,282.06
"82","entry",3173.37,282.39
"83","entry",4147.43,282.03
"84","entry",4835.38,283.59
"85","entry",4307.99,283.48
"86","entry",3554.3,283.14
"87","entry",5314.21,282.1
"88","entry",5174.71,283.29
"89","entry",4266.46,282.06
"9","entry",3574.34,282.99
"90","entry",3539.71,283.36
"91","entry",2770.13,283.2
"92","entry",4457.33,282.22
"93","entry",5106.41,283.51
"94","entry",4630.99,281.99
"95","entry",5115.4,283.19
"96","entry",4075.34,282.06
"97","entry",4924.83,283.57
"98","entry",4406.36,283.24
"99","entry",4307.35,283.03
